,pid,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,at1t,at1x,at1y,at1z,lr1t,lr1x,lr1y,lr1z,rl1t,rl1x,rl1y,rl1z,pl,spl,plr,name,status,arc_angle,arc,Release,jump_dist,approx_h
100,201162,6.4999974,406,-0.126875686472915,0.599987233096288,2.93836285236002,0.388,-0.011887827832831,-0.0051489884200543,8.58556688603991,13.8286553025953,-7.51239346987797,-0.591081527194404,11.5950970008853,8.65547755522477,0.32,0.316498241860578,0.0713542379648973,7.90366298409026,23.3565167486409,0.119,-0.27059336422596,0.535181144802218,5.0607215558929,0.0690000000000001,-0.404333963439189,0.599906690905191,3.99858976676664,0.282,0.354780606673889,0.142928704960931,7.55689044338283,0.0,0.0,0.0,0.0,0.043,-0.351816571543509,0.610786144231732,3.55531981545793,5.91517103916197,5.68069762020794,1.04127546203479,Jared Dudley,1,52.16650965350826,Medium,Slow,Mid,6.0
101,200826,5.833331,401,0.759577671190958,0.0233260485950331,2.67583117106733,0.567,-0.000143891005509766,0.000480045476178789,7.65904958514853,14.202310281225,-6.87438285061703,-0.21130410792522,12.4259337001815,1.01033450337162,0.076,0.316965834993272,0.0161765832461227,2.80545491906014,16.1468887964222,0.306,-0.293859306345974,0.203923732088485,4.49106343184715,0.256,-0.391887792963452,0.194801024072594,3.74913342081391,0.477,0.295930901625537,0.0596264202058244,6.69565782620099,0.0399999999999999,0.492267083475129,0.0124176655452534,2.76097558596015,0.292,-0.337355360561422,0.205434134672132,4.2662366181549,5.81463296069164,5.04084958656403,1.15350257150899,J.J. Barea,1,45.483416606078734,Medium,Slow,Slow,6.0
102,2406,6.5833307,396,0.467559086158391,-0.099514443883189,3.06988004807301,0.459,-0.115843638853705,-0.0526389835290779,8.9529854018247,12.2294844569278,-7.52741965883893,1.5567893700704,9.51181634700759,14.1094185599089,0.143,-0.0652469075112302,0.278612711758396,4.88918315343972,15.3409148861074,0.215,0.110126509333317,0.143182845419207,5.96478224889034,0.141,-0.0654267454654719,0.279165072860649,4.86095082574642,0.326,0.433734397090256,-0.143559679933562,7.55491795640294,0.346,0.415233191872219,-0.154082635003011,7.78987771896778,0.137,-0.0648242019880003,0.279543909268161,4.80427187631695,6.25772070880241,5.91214721160399,1.05845143647982,Caron Butler,1,52.42711440717288,Medium,Slow,Fast,7.0
103,203109,6.4999974,396,-0.0693808007696881,0.503334214854977,3.26892047450695,0.448,-2.06600788697497e-05,-0.0208029816567969,8.03710220227467,13.005889741748,-7.25701327709127,0.656886695742903,10.7729952260076,8.21000654066938,0.381,0.30207222385922,-0.0296366685800506,7.41574971018771,17.0048596535635,0.19,-0.558538060246252,0.557404533188584,5.04344604265914,0.132,-0.744259771485869,0.647404164543857,4.14851334372106,0.357,0.323410113382953,-0.0082661516214996,7.21560350013827,0.405,0.236145623588757,-0.0359140750773333,7.61672822567143,0.132,-0.744259771485869,0.647404164543857,4.14851334372106,5.46542926799669,4.79740425844038,1.13924717900957,Jae Crowder,1,50.30675937885432,Medium,Slow,Mid,6.0
104,203503,6.4999974,396,-0.22185963688287,-0.331981528903409,3.20376529063673,0.376,0.0303883556087646,-0.0703250800172193,8.06651918884937,13.3164734061309,-5.93921755179171,0.0189322242987455,11.9186324894915,8.207270308759,0.312,0.235776090272289,-0.0721945590503257,7.42469132557548,20.2735238020271,0.121,-0.358527565555212,0.106388826037971,4.78079115456655,0.085,-0.390094818952418,0.0619540268034959,4.08523313051109,0.301,0.239309338335851,-0.073216015616244,7.33379812725088,0.3,0.239269896658291,-0.0732307682917497,7.32540103547577,0.14,-0.323939112727802,0.111947018215268,5.16017066045626,5.13802042351319,4.87631711658933,1.05366822966323,Tony Snell,1,56.86423591033746,High,Slow,Mid,6.0
105,201584,6.4166641,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Courtney Lee,1,0.0,Medium,Mid,Mid,6.0
106,201565,6.1666642,381,0.920099288925898,0.12777678705563,3.6023221383992,0.466,0.0525042981633786,-0.0368089535352321,9.08865731076859,12.2661216973087,-7.9633030852032,0.313687945270452,9.32443807097093,inf,0.0,0.0,0.0,0.0,15.8047968161989,0.22,0.338206099023034,0.196571713198942,6.0969298739685,0.154,0.182894707341019,0.27356108469738,5.08200881465543,0.328,0.662725631632937,0.0022415694580858,7.67867177794801,0.424,0.34233485158304,-0.0437512991996138,8.69107604078747,0.142,0.189980726225609,0.27526515844361,4.91084804066982,5.97096771392312,5.5569490871862,1.07450466438348,Derrick Rose,1,58.95761839556102,High,Slow,Fast,6.0
107,203468,6.2499975,379,-0.487320840821825,0.188936139028212,3.12985767995322,0.421,-0.0821529192649395,-0.0134091631157854,7.53895763561964,17.5139237255769,-7.36361641291147,0.967038497027089,15.8612582771385,12.3455191873116,0.302,0.256641130674416,-0.0498036473917686,5.85885478890454,13.9559416923971,0.227,-0.0589633316549709,0.0190665285596361,4.85378032699623,0.094,-0.709069305280233,0.144882261220612,3.2240213190781,0.319,0.263792089987162,-0.0546782354670053,6.07322335605642,0.335,0.256413130039233,-0.0561059410411162,6.28280069939542,0.0,0.0,0.0,0.0,4.97765031271866,4.43229817194377,1.12304049042254,CJ McCollum,1,38.78311877529563,Low,Slow,Slow,6.0
108,203118,6.5833307,378,0.0588558548012748,-0.213762710992562,2.92016612062319,0.454,-0.0104507627655369,-0.0183717910969703,8.7378958190231,11.8701824564343,-7.28069281459184,-0.226011775308128,9.37238829573416,6.20356542519928,0.382,0.373150681957836,-0.0062807869252222,8.18108369716536,22.7287572842449,0.1,-0.527770018830857,0.157806472800725,4.17277902432032,0.127,-0.582102773004577,0.217798489737168,4.76211533397079,0.329,0.468342212161567,0.011069867802367,7.80396456720058,0.0,0.0,0.0,0.0,0.141,-0.561105200413962,0.224659751242631,5.03276013410758,6.45304304515948,5.8214224947568,1.10849934890855,Mike Scott,1,55.226331860866814,High,Slow,Fast,7.0
109,2210,6.5833307,370,-0.671906036425418,0.0153357349736957,3.08065261465252,0.587,-0.190547069675294,-0.0800918481704212,8.85922756849171,12.2439837157819,-7.02127545257566,1.23800837216524,9.95410284866693,9.23522860227343,0.527,0.138838716317162,-0.15061317494153,8.29038603519951,15.338626677523,0.205,-0.715333010903205,0.148218263917766,4.5546256296774,0.11,-0.86555928234437,0.181685326630684,3.28865696062636,0.451,0.313235433637851,-0.185476323802295,7.56111854472918,0.463,0.306801522217114,-0.187036497866154,7.68230895837824,0.137,-0.852967276603887,0.189552293905872,3.5809465861927,6.41251059971327,5.79937422276172,1.10572457534213,Richard Jefferson,1,45.25905918843718,Medium,Slow,Fast,7.0
110,201568,6.8333306,366,-0.788179059422261,0.303595826052465,3.57261162696597,0.461,-0.0375630393099494,-0.0139869886429882,8.44923551785463,13.3500123601484,-6.94397941228377,0.110561101198678,11.4013927298728,6.00003393673897,0.376,0.229578183323185,-0.0339386275024628,7.74828647844721,16.3190428387398,0.113,-1.13305108201281,0.680629831659994,4.84725865505365,0.119,-1.13519819055361,0.687981117995887,4.9450453377294,0.38,0.230185873058524,-0.0334973926397552,7.77231136828903,0.374,0.228916725191648,-0.0339980827944407,7.73628483516957,0.13,-1.12720756442615,0.693645357965492,5.12220058993015,5.53636863683695,4.9442637295178,1.11975593125913,Danilo Gallinari,1,43.13714600005942,Medium,Slow,Mid,7.0
111,201951,5.9166643,365,-0.0164435852002472,-0.152053581629221,3.16566025215455,0.447,-0.16018349544812,-0.0175509873392995,7.51544585436584,13.0222842296626,-7.25155467601229,0.61869260292735,10.7987064411441,9.90086422643265,0.367,0.203814322465214,-0.0255805817695855,6.69909675819532,13.4822155057934,0.228,-0.0806967923635466,0.145545378633162,5.07667299667817,0.129,-0.481732596001932,0.209375921077225,3.84706949206878,0.319,0.272289679875492,0.0075914791055537,6.21686618696197,0.4,0.100860115083842,-0.0321998520391944,7.02753998664363,0.151,-0.45305025134246,0.217671411792904,4.0875985921948,4.88105296983688,4.35423780871846,1.12098906496645,Ty Lawson,1,60.42200101512455,High,Slow,Slow,6.0
112,203521,6.2499975,363,0.280851502400104,0.515245698225052,2.52920842011369,0.366,-0.0562275722702256,-0.0180640112993515,7.74207924466596,15.4240309545953,-7.95491312254992,0.688753591429169,13.1964277966157,8.89030419797176,0.299,0.23482090491789,0.0435964580467187,7.00636469045413,21.3895143652221,0.115,-0.425035379589163,0.828102514295996,3.97821480853958,0.135,-0.456950588413973,0.81371450097282,4.39945051826238,0.292,0.236862720700231,0.0626024653802916,6.94396378134151,0.348,0.0735247583903638,-0.0245412565718463,7.50867578848507,0.116,-0.427965622594539,0.828122801735127,3.99960349252189,5.82038732843771,5.2509107574136,1.10845291366266,Matthew Dellavedova,1,51.31144250202338,Medium,Slow,Slow,6.0
113,201147,6.7499972999999995,359,0.235537825707633,-0.39219715587633,3.37782663546079,0.406,-0.0886929649987655,-0.0367044364178969,8.16484201697593,11.9187501706783,-5.58954058211255,-0.136442670721958,10.5259215800597,inf,0.0,0.0,0.0,0.0,17.3432193539753,0.199,0.0168869315899622,0.0767478937031282,5.43690237198611,0.108,-0.199670754573547,0.0291725959898468,4.01533470728762,0.281,0.203580422026089,0.0206481921648526,6.74255108044566,0.0,0.0,0.0,0.0,0.17,-0.0821315757400529,0.0851379740151599,4.93893401528599,5.20298623243234,4.81113468342891,1.08144680512751,Corey Brewer,1,56.98612559188733,High,Slow,Mid,7.0
114,200752,6.666664,355,-0.310806462605808,0.553567557450694,3.31657669044031,0.376,0.0276261562336496,-0.0125731533780275,8.64911434615223,15.5192673241417,-7.56740822735513,0.154450396078962,13.5483628558539,10.2665703927487,0.291,0.43365185657032,0.0166281137644716,7.64787318369339,24.1318593668538,0.11,-0.626545067231292,0.593605996101561,5.00745669670626,0.073,-0.720249148111014,0.608665495830655,4.16415796654347,0.276,0.444677832883057,0.037164569971622,7.49314590882332,0.365,0.107261263034234,-0.0134612553620237,8.50108937759357,0.079,-0.717752585249339,0.609239491601504,4.28827561487546,5.90618072696353,5.37317501962645,1.09919753318851,Rudy Gay,1,43.62684894210153,Medium,Slow,Fast,7.0
115,2736,6.7499972999999995,353,0.0733658803209869,0.524481106025378,3.57850783472892,0.473,-0.0189330673845511,-0.0143994014631541,8.63047595641914,12.8250797107904,-8.34973339051994,0.063753836703817,9.73450344617887,8.70037760254582,0.32,0.574152508590045,0.0627812761664381,7.22811854378757,15.307419413908,0.119,-0.322552346079031,0.379619852642664,4.67059190597071,0.104,-0.329410081234789,0.39267106531348,4.44262014287587,0.336,0.583006639270369,0.0425280910628294,7.36837564380058,0.46,0.0852396241668192,-0.014822740077368,8.50554125206456,0.0,0.0,0.0,0.0,5.61530625766992,5.08146565467807,1.10505642255013,Luol Deng,1,45.7635241604035,Medium,Slow,Fast,7.0
116,202713,6.666664,351,-0.520658326984028,0.0070014672789045,3.17718020527729,0.358,-0.0236125493110566,0.0382844068548684,7.60993904414071,15.0498793351089,-4.15165483176011,-0.0409331453202627,14.4658547841763,11.3781418255945,0.29,-0.0910931381641839,0.102093587329436,6.73903838841995,17.2189362718908,0.179,-0.925941959984383,0.349249775849818,5.14574612393728,0.132,-1.13971566428597,0.394706566833699,4.36529842636979,0.33,0.043206182210038,0.0489812331717652,7.21806488715524,0.0,0.0,0.0,0.0,0.138,-1.13618822241773,0.396442970852511,4.45994959177988,5.10096388421414,4.46064838907224,1.14354762789879,Kyle Singler,1,47.327056698171106,Medium,Slow,Slow,7.0
